,DATE,afghanistan,afrique du sud,algérie,allemagne,angola,arabie,argentine,australie,autriche,belgique,birmanie,bolivie,bosnieherzégovine,brésil,bulgarie,cambodge,canada,chili,chine,colombie,corée,costa rica,côte d’ivoire,croatie,cuba,danemark,égypte,émirats arabes unis,équateur,espagne,étatsunis,éthiopie,finlande,france,grèce,guatemala,haïti,honduras,hongrie,inde,indonésie,irak,iran,irlande,islande,israël,italie,jamaïque,japon,jordanie,kosovo,koweït,laos,liban,libye,maroc,mexique,monaco,nicaragua,nigéria,norvège,nouvellezélande,ouganda,pakistan,panama,palestine,paraguay,paysbas,pérou,philippines,pologne,portugal,qatar,congo,tchécoslovaquie,roumanie,royaumeuni,russie,salvador,rwanda,sénégal,serbie,singapour,slovaquie,somalie,soudan,sri lanka,suède,suisse,syrie,tadjikistan,taïwan,thaïlande,timororiental,tunisie,turquie,ukraine,uruguay,venezuela,vietnam,yémen,république tchèque,yougoslavie,urss,NbEditions
644,11/1965,0,0,2,6,0,0,3,2,1,14,0,0,0,10,6,7,748,11,104,14,5,0,0,0,5,1,0,0,0,3,3,0,0,175,8,1,0,1,4,2,3,1,4,0,0,9,19,5,14,2,0,2,6,6,0,2,11,0,1,3,1,2,0,3,1,1,0,1,1,1,3,1,0,9,9,4,9,9,1,0,3,0,0,0,0,2,0,5,10,0,0,0,1,0,1,3,0,1,3,74,0,0,1,4,26
645,12/1965,0,0,0,10,0,1,5,8,1,10,0,0,0,9,2,4,789,16,69,21,1,0,0,0,7,2,0,0,0,3,4,0,2,197,2,0,0,0,4,3,2,0,1,0,0,1,7,6,10,1,0,1,11,4,0,1,12,1,0,1,3,1,1,12,1,0,0,7,1,2,5,8,0,3,4,2,7,16,1,0,3,0,1,0,0,0,0,14,12,0,0,0,1,0,1,1,0,3,0,95,0,0,3,3,26
646,01/1966,0,0,0,15,0,2,5,1,10,10,0,1,0,7,0,0,704,11,83,10,2,0,0,0,7,1,0,0,0,8,5,0,3,142,5,0,0,1,4,10,4,0,1,1,0,19,8,1,16,4,0,1,2,7,0,16,9,2,0,11,5,2,0,10,1,1,0,0,1,1,23,2,0,3,2,1,5,12,1,0,1,0,2,0,0,0,0,18,25,1,0,0,4,0,15,1,2,1,2,81,0,0,7,21,24
647,02/1966,0,0,0,10,0,0,3,3,4,15,2,0,0,7,1,1,651,9,48,18,4,0,0,0,4,1,0,0,0,9,4,0,7,161,6,0,2,0,9,7,1,1,0,0,0,3,11,3,14,3,0,0,5,12,1,6,9,3,0,1,7,2,0,5,1,0,0,5,4,4,9,4,0,3,3,0,7,13,2,0,0,0,1,0,0,0,0,14,30,4,0,0,0,0,1,6,0,0,0,139,0,0,4,10,24
648,03/1966,0,0,0,27,0,0,0,1,2,10,0,0,0,6,4,1,746,7,98,12,4,0,0,0,5,2,0,0,0,8,3,0,11,209,5,0,3,0,2,6,1,0,0,4,0,5,9,2,6,1,0,0,1,1,0,4,7,5,0,1,4,0,0,8,1,0,1,2,0,0,15,8,0,0,10,1,8,14,0,0,0,0,0,0,0,0,0,16,17,0,0,0,2,0,1,7,0,0,0,96,0,0,6,4,27
649,04/1966,0,0,1,28,0,3,1,0,2,10,2,0,0,5,1,2,609,6,47,16,2,0,0,0,8,0,0,0,0,8,2,0,1,239,7,0,0,0,0,10,3,1,6,2,1,2,6,5,11,6,0,3,2,7,0,0,3,1,0,0,1,0,1,3,6,1,0,1,2,2,16,9,0,3,6,4,6,12,0,0,0,0,0,0,1,1,0,1,11,2,0,0,0,0,2,2,0,0,1,42,0,0,1,4,27
650,05/1966,0,0,2,21,0,0,3,2,6,15,0,2,0,8,1,1,614,2,68,3,2,0,0,0,3,4,0,0,0,5,0,0,4,156,6,1,0,0,1,7,1,0,4,1,0,1,8,1,7,0,0,0,0,0,0,1,1,2,0,2,0,1,0,4,1,1,0,4,4,1,19,2,0,2,6,23,2,17,0,0,0,0,0,0,1,0,0,6,13,2,0,0,2,0,2,2,0,0,2,72,2,0,3,8,26
651,06/1966,0,0,1,33,0,0,5,4,1,18,2,1,0,4,3,1,745,3,54,22,11,0,0,0,5,2,1,0,0,4,0,0,4,180,5,0,0,1,4,7,5,1,3,0,0,4,12,6,15,3,0,0,1,2,0,0,7,4,0,1,0,1,1,5,0,0,1,3,0,0,9,2,0,4,6,13,9,19,0,0,0,0,0,0,0,0,0,8,9,1,0,0,3,0,4,2,0,1,0,88,0,0,7,11,26
652,07/1966,1,0,0,29,1,3,5,1,1,12,0,1,0,6,1,3,636,8,74,10,8,0,0,2,7,2,0,0,0,5,2,0,1,153,5,1,0,0,2,3,0,0,1,3,0,9,9,5,13,3,0,0,11,3,0,5,11,0,1,1,3,0,0,6,0,2,0,1,2,2,10,12,0,2,9,0,13,12,0,0,1,0,3,0,0,0,0,12,17,6,0,0,1,0,2,5,0,0,5,129,4,0,15,11,26
653,08/1966,0,0,0,27,0,0,4,2,5,10,0,1,0,9,3,36,668,16,115,14,1,0,0,0,5,2,0,0,0,5,2,0,2,119,3,0,2,1,6,2,2,0,4,1,0,8,7,10,25,3,0,0,1,3,0,1,12,0,2,9,2,3,0,28,1,0,0,2,5,3,12,3,0,5,3,3,9,7,0,0,8,0,2,0,4,1,0,5,22,8,0,0,3,0,1,2,0,1,3,118,0,0,1,8,27
